year,location,site,file_name,blade_num,prevelance,severity,lesion_area,healthy_area,correct_num
2019,San Diego,A Chula Vista/Disease Scans/,SD.A.1.U.9_16.jpg,9,0,0,0,94.25811548,TRUE
2019,San Diego,A Chula Vista/Disease Scans/,SD.A.1.U.9_16.jpg,10,1,0.729045074,0.639184142,87.03497558,TRUE
2019,San Diego,A Chula Vista/Disease Scans/,SD.A.1.U.9_16.jpg,11,0,0,0,157.2752083,TRUE
2019,San Diego,A Chula Vista/Disease Scans/,SD.A.1.U.9_16.jpg,12,1,28.2448057,17.50035909,44.45920712,TRUE
2019,San Diego,A Chula Vista/Disease Scans/,SD.A.1.U.9_16.jpg,13,0,0,0,68.67279517,TRUE
2019,San Diego,A Chula Vista/Disease Scans/,SD.A.1.U.9_16.jpg,14,0,0,0,62.94706981,TRUE
2019,San Diego,A Chula Vista/Disease Scans/,SD.A.1.U.9_16.jpg,15,1,0.263862845,0.353705832,133.695418,TRUE
2019,San Diego,A Chula Vista/Disease Scans/,SD.A.1.U.9_16.jpg,16,1,0.039806276,0.053863832,135.26106,TRUE
2019,San Diego,A Chula Vista/Disease Scans/,SD.A.4.L.9_16.jpg,9,1,45.41552511,35.71531169,42.92588337,TRUE
2019,San Diego,A Chula Vista/Disease Scans/,SD.A.4.L.9_16.jpg,10,0,0,0,136.4568371,TRUE
2019,San Diego,A Chula Vista/Disease Scans/,SD.A.4.L.9_16.jpg,11,0,0,0,82.25904912,TRUE
2019,San Diego,A Chula Vista/Disease Scans/,SD.A.4.L.9_16.jpg,12,1,4.788952982,7.795891985,154.9931772,TRUE
2019,San Diego,A Chula Vista/Disease Scans/,SD.A.4.L.9_16.jpg,13,0,0,0,149.8222494,TRUE
2019,San Diego,A Chula Vista/Disease Scans/,SD.A.4.L.9_16.jpg,14,0,0,0,149.4900891,TRUE
2019,San Diego,A Chula Vista/Disease Scans/,SD.A.4.L.9_16.jpg,15,0,0,0,210.5914249,TRUE
2019,San Diego,A Chula Vista/Disease Scans/,SD.A.4.L.9_16.jpg,16,0,0,0,90.16266877,TRUE
2019,San Diego,A Chula Vista/Disease Scans/,SD.A.2.U.1_8.jpg,1,0,0,0,120.5598248,TRUE
2019,San Diego,A Chula Vista/Disease Scans/,SD.A.2.U.1_8.jpg,2,0,0,0,72.27089917,TRUE
